model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,year
JEEP Compass,2.4,4,Man-5,4WD,Gasoline,SUV,7.0,22.0,27.0,24.0,7,yes,2008
JEEP Grand Cherokee,3.7,6,Auto-L5,2WD,Gasoline,SUV,6.0,15.0,20.0,17.0,4,no,2008
JEEP Grand Cherokee,3.7,6,Auto-L5,4WD,Gasoline,SUV,6.0,15.0,19.0,17.0,4,no,2008
JEEP Grand Cherokee,4.7,8,Auto-L5,2WD,Gasoline,SUV,6.0,14.0,19.0,15.0,3,no,2008
JEEP Grand Cherokee,4.7,8,Auto-L5,4WD,Gasoline,SUV,6.0,14.0,19.0,15.0,3,no,2008
JEEP Grand Cherokee,5.7,8,Auto-L5,2WD,Gasoline,SUV,6.0,13.0,19.0,15.0,3,no,2008
JEEP Grand Cherokee,5.7,8,Auto-L5,4WD,Gasoline,SUV,6.0,13.0,18.0,15.0,3,no,2008
JEEP Grand Cherokee,6.1,8,Auto-L5,4WD,Gasoline,SUV,6.0,11.0,14.0,12.0,0,no,2008
JEEP Liberty,3.7,6,Auto-L4,2WD,Gasoline,SUV,7.0,16.0,22.0,18.0,5,no,2008
JEEP Liberty,3.7,6,Auto-L4,4WD,Gasoline,SUV,7.0,15.0,21.0,17.0,4,no,2008
JEEP Liberty,3.7,6,Auto-L4,2WD,Gasoline,SUV,6.0,16.0,22.0,18.0,5,no,2008
JEEP Liberty,3.7,6,Man-6,2WD,Gasoline,SUV,6.0,16.0,22.0,19.0,5,no,2008
JEEP Liberty,3.7,6,Auto-L4,4WD,Gasoline,SUV,6.0,15.0,21.0,17.0,4,no,2008
JEEP Liberty,3.7,6,Man-6,4WD,Gasoline,SUV,6.0,16.0,22.0,18.0,5,no,2008
JEEP Patriot,2.4,4,Man-5,2WD,Gasoline,SUV,7.0,23.0,28.0,25.0,7,yes,2008
JEEP Patriot,2.4,4,Auto-AV,4WD,Gasoline,SUV,7.0,20.0,22.0,21.0,6,yes,2008
JEEP Patriot,2.4,4,Auto-AV,4WD,Gasoline,SUV,7.0,21.0,24.0,22.0,6,yes,2008
JEEP Patriot,2.4,4,Man-5,4WD,Gasoline,SUV,7.0,22.0,27.0,24.0,7,yes,2008
JEEP Wrangler,3.8,6,Auto-L4,2WD,Gasoline,SUV,7.0,15.0,20.0,17.0,4,no,2008
JEEP Wrangler,3.8,6,Man-6,2WD,Gasoline,SUV,7.0,16.0,21.0,18.0,5,no,2008
JEEP Wrangler,3.8,6,Man-6,4WD,Gasoline,SUV,7.0,15.0,19.0,16.0,4,no,2008
JEEP Wrangler,3.8,6,Auto-L4,4WD,Gasoline,SUV,7.0,15.0,19.0,17.0,4,no,2008
KIA Amanti,3.8,6,Auto-L5,2WD,Gasoline,large car,7.0,17.0,24.0,19.0,5,no,2008
KIA Optima,2.4,4,Auto-L5,2WD,Gasoline,midsize car,7.0,21.0,31.0,25.0,7,yes,2008
KIA Optima,2.4,4,Man-5,2WD,Gasoline,midsize car,7.0,21.0,31.0,25.0,7,yes,2008
KIA Rio,1.6,4,Auto-L4,2WD,Gasoline,small car,7.0,25.0,35.0,29.0,8,yes,2008
KIA Rio,1.6,4,Man-5,2WD,Gasoline,small car,7.0,27.0,32.0,29.0,8,yes,2008
KIA Rondo,2.4,4,Auto-L4,2WD,Gasoline,station wagon,7.0,19.0,26.0,22.0,6,yes,2008
KIA Rondo,2.7,6,Auto-L5,2WD,Gasoline,station wagon,7.0,18.0,26.0,21.0,6,yes,2008
KIA Sedona,3.8,6,Auto-L5,2WD,Gasoline,minivan,7.0,16.0,23.0,18.0,5,no,2008
KIA Sorento,3.8,6,Auto-L5,2WD,Gasoline,SUV,6.0,15.0,21.0,17.0,4,no,2008
KIA Sorento,3.8,6,Auto-L5,4WD,Gasoline,SUV,6.0,15.0,20.0,17.0,4,no,2008
KIA Spectra,2.0,4,Auto-L4,2WD,Gasoline,midsize car,9.5,24.0,32.0,27.0,8,yes,2008
KIA Spectra,2.0,4,Man-5,2WD,Gasoline,midsize car,7.0,23.0,30.0,26.0,8,yes,2008
KIA Spectra,2.0,4,Auto-L4,2WD,Gasoline,midsize car,7.0,24.0,32.0,27.0,8,yes,2008
KIA Sportage,2.0,4,Auto-L4,2WD,Gasoline,SUV,7.0,19.0,25.0,21.0,6,yes,2008
KIA Sportage,2.0,4,Man-5,2WD,Gasoline,SUV,7.0,20.0,25.0,22.0,6,yes,2008
KIA Sportage,2.0,4,Man-5,4WD,Gasoline,SUV,7.0,19.0,24.0,21.0,6,yes,2008
KIA Sportage,2.7,6,Auto-L4,2WD,Gasoline,SUV,6.0,17.0,23.0,20.0,6,no,2008
KIA Sportage,2.7,6,Auto-L4,4WD,Gasoline,SUV,6.0,17.0,21.0,19.0,5,no,2008
LAMBORGHINI Gallardo Coupe,5.0,10,Man-6,4WD,Gasoline,small car,6.0,10.0,17.0,13.0,1,no,2008
LAMBORGHINI Gallardo Coupe,5.0,10,Auto-S6,4WD,Gasoline,small car,6.0,11.0,17.0,13.0,1,no,2008
LAMBORGHINI Gallardo Spyder,5.0,10,Man-6,4WD,Gasoline,small car,6.0,10.0,15.0,12.0,0,no,2008
LAMBORGHINI Gallardo Spyder,5.0,10,Auto-S6,4WD,Gasoline,small car,6.0,10.0,16.0,12.0,0,no,2008
LAMBORGHINI Murcielago,6.5,12,Man-6,4WD,Gasoline,small car,6.0,8.0,13.0,10.0,0,no,2008
LAMBORGHINI Murcielago,6.5,12,Auto-S6,4WD,Gasoline,small car,6.0,9.0,14.0,11.0,0,no,2008
LAMBORGHINI Murcielago Reventon,6.5,12,Auto-S6,4WD,Gasoline,small car,6.0,9.0,14.0,11.0,0,no,2008
LAMBORGHINI Murcielago Roadster,6.5,12,Man-6,4WD,Gasoline,small car,6.0,8.0,13.0,10.0,0,no,2008
LAMBORGHINI Murcielago Roadster,6.5,12,Auto-S6,4WD,Gasoline,small car,6.0,9.0,14.0,11.0,0,no,2008
LAND ROVER LR2,3.2,6,Auto-S6,4WD,Gasoline,SUV,7.0,16.0,23.0,18.0,5,no,2008
LAND ROVER LR3,4.4,8,Auto-S6,4WD,Gasoline,SUV,7.0,12.0,17.0,14.0,2,no,2008
LAND ROVER Range Rover,4.2,8,Auto-S6,4WD,Gasoline,SUV,6.0,12.0,18.0,14.0,2,no,2008
LAND ROVER Range Rover,4.4,8,Auto-S6,4WD,Gasoline,SUV,6.0,12.0,18.0,14.0,2,no,2008
LAND ROVER Range Rover Sport,4.4,8,Auto-S6,4WD,Gasoline,SUV,7.0,12.0,18.0,15.0,3,no,2008
LAND ROVER Range Rover Sport,4.2,8,Auto-S6,4WD,Gasoline,SUV,6.0,12.0,18.0,14.0,2,no,2008
LEXUS ES 350,3.5,6,Auto-S6,2WD,Gasoline,midsize car,7.0,19.0,27.0,22.0,6,yes,2008
LEXUS GS 350,3.5,6,Auto-S6,4WD,Gasoline,midsize car,7.0,18.0,25.0,20.0,6,yes,2008
LEXUS GS 350,3.5,6,Auto-S6,2WD,Gasoline,midsize car,7.0,19.0,27.0,22.0,6,yes,2008
LEXUS GS 450h,3.5,6,Auto-S6,2WD,Gasoline,small car,9.0,22.0,25.0,23.0,7,yes,2008
LEXUS GS 460,4.6,8,S8,2WD,Gasoline,midsize car,7.0,17.0,24.0,20.0,6,yes,2008
LEXUS GX 470,4.7,8,Auto-L5,4WD,Gasoline,SUV,7.0,14.0,18.0,15.0,3,no,2008
LEXUS IS 250,2.5,6,Man-6,2WD,Gasoline,small car,7.0,18.0,26.0,21.0,6,yes,2008
LEXUS IS 250,2.5,6,Auto-S6,4WD,Gasoline,small car,7.0,20.0,26.0,22.0,6,yes,2008
LEXUS IS 250,2.5,6,Auto-S6,2WD,Gasoline,small car,7.0,21.0,29.0,24.0,7,yes,2008
LEXUS IS 350,3.5,6,Auto-S6,2WD,Gasoline,small car,7.0,18.0,25.0,20.0,6,yes,2008
LEXUS LS 460,4.6,8,S8,2WD,Gasoline,midsize car,7.0,16.0,24.0,19.0,5,no,2008
LEXUS LS 460 L,4.6,8,S8,2WD,Gasoline,midsize car,7.0,16.0,24.0,19.0,5,no,2008
LEXUS LS 600HL,5.0,8,S8,4WD,Gasoline,midsize car,9.0,20.0,22.0,21.0,6,yes,2008
LEXUS LX 570,5.7,8,Auto-S6,4WD,Gasoline,SUV,7.0,12.0,18.0,14.0,2,no,2008
LEXUS RX 350,3.5,6,Auto-L5,2WD,Gasoline,SUV,7.0,18.0,23.0,20.0,6,yes,2008
LEXUS RX 350,3.5,6,Auto-S5,2WD,Gasoline,SUV,7.0,18.0,23.0,20.0,6,yes,2008
LEXUS RX 350,3.5,6,Auto-L5,4WD,Gasoline,SUV,7.0,17.0,22.0,19.0,5,no,2008
LEXUS RX 350,3.5,6,Auto-S5,4WD,Gasoline,SUV,7.0,17.0,22.0,19.0,5,no,2008
LEXUS RX 400H,3.3,6,Auto-AV,2WD,Gasoline,SUV,9.0,27.0,24.0,25.0,7,yes,2008
LEXUS RX 400H,3.3,6,Auto-AV,4WD,Gasoline,SUV,9.0,26.0,24.0,25.0,7,yes,2008
LEXUS SC 430,4.3,8,Auto-S6,2WD,Gasoline,small car,6.0,16.0,23.0,19.0,5,no,2008
LINCOLN MKX,3.5,6,Auto-L6,2WD,Gasoline,SUV,7.0,16.0,24.0,19.0,5,no,2008
LINCOLN MKX,3.5,6,Auto-L6,4WD,Gasoline,SUV,7.0,15.0,22.0,18.0,5,no,2008
LINCOLN MKZ,3.5,6,Auto-L6,4WD,Gasoline,midsize car,7.0,17.0,24.0,19.0,5,no,2008
LINCOLN MKZ,3.5,6,Auto-L6,2WD,Gasoline,midsize car,7.0,18.0,28.0,22.0,6,yes,2008
LINCOLN Mark LT,5.4,8,Auto-L4,2WD,Gasoline,pickup,7.0,12.0,16.0,14.0,2,no,2008
LINCOLN Mark LT,5.4,8,Auto-L4,4WD,Gasoline,pickup,7.0,13.0,17.0,14.0,2,no,2008
LINCOLN Navigator,5.4,8,Auto-L6,2WD,Gasoline,SUV,7.0,12.0,18.0,14.0,2,no,2008
LOTUS Elise,1.8,4,Man-6,2WD,Gasoline,small car,6.0,20.0,26.0,22.0,6,no,2008
LOTUS Elise,1.8,4,Man-6,2WD,Gasoline,small car,6.0,21.0,27.0,23.0,7,no,2008
LOTUS Exige,1.8,4,Man-6,2WD,Gasoline,small car,6.0,20.0,26.0,22.0,6,no,2008
LOTUS Exige,1.8,4,Man-6,2WD,Gasoline,small car,6.0,21.0,27.0,23.0,7,no,2008
MASERATI Granturismo,4.2,8,Auto-6,2WD,Gasoline,small car,6.0,14.0,21.0,17.0,4,no,2008
MASERATI Quattroporte,4.2,8,Auto-6,2WD,Gasoline,large car,6.0,13.0,19.0,15.0,3,no,2008
MAZDA 3,2.0,4,Auto-S4,2WD,Gasoline,small car,9.5,23.0,31.0,26.0,8,yes,2008
MAZDA 3,2.0,4,Man-5,2WD,Gasoline,small car,9.5,24.0,32.0,27.0,8,yes,2008
MAZDA 3,2.3,4,Auto-S5,2WD,Gasoline,small car,9.5,22.0,29.0,24.0,7,yes,2008
MAZDA 3,2.3,4,Man-5,2WD,Gasoline,small car,9.5,22.0,29.0,25.0,7,yes,2008
MAZDA 3,2.3,4,Man-6,2WD,Gasoline,midsize car,7.0,18.0,26.0,20.0,6,yes,2008
MAZDA 5,2.3,4,Auto-S5,2WD,Gasoline,minivan,6.0,21.0,27.0,23.0,7,yes,2008
MAZDA 5,2.3,4,Man-5,2WD,Gasoline,minivan,6.0,22.0,28.0,24.0,7,yes,2008
MAZDA 6,2.3,4,Auto-S5,2WD,Gasoline,midsize car,9.5,21.0,28.0,24.0,7,yes,2008
MAZDA 6,3.0,6,Man-5,2WD,Gasoline,midsize car,7.0,17.0,25.0,20.0,6,yes,2008
MAZDA 6,3.0,6,Auto-S6,2WD,Gasoline,midsize car,7.0,18.0,25.0,20.0,6,yes,2008
MAZDA 6,2.3,4,Auto-S5,2WD,Gasoline,midsize car,6.0,21.0,28.0,24.0,7,yes,2008
MAZDA 6,2.3,4,Man-5,2WD,Gasoline,midsize car,6.0,21.0,29.0,24.0,7,yes,2008
MAZDA B2300,2.3,4,Auto-L5,2WD,Gasoline,pickup,7.0,19.0,24.0,21.0,6,yes,2008
MAZDA B2300,2.3,4,Man-5,2WD,Gasoline,pickup,7.0,21.0,26.0,23.0,7,yes,2008
MAZDA B3000,3.0,6,Auto-L5,2WD,Gasoline,pickup,7.0,15.0,20.0,17.0,4,no,2008
MAZDA B4000,4.0,6,Auto-L5,2WD,Gasoline,pickup,6.0,15.0,20.0,17.0,4,no,2008
MAZDA B4000,4.0,6,Auto-L5,4WD,Gasoline,pickup,6.0,14.0,17.0,15.0,3,no,2008
MAZDA B4000,4.0,6,Man-5,4WD,Gasoline,pickup,6.0,15.0,19.0,16.0,4,no,2008
MAZDA CX-7,2.3,4,Auto-S6,2WD,Gasoline,SUV,6.0,17.0,23.0,19.0,5,no,2008
MAZDA CX-7,2.3,4,Auto-S6,4WD,Gasoline,SUV,6.0,16.0,22.0,18.0,5,no,2008
MAZDA CX-9,3.7,6,Auto-S6,2WD,Gasoline,SUV,7.0,16.0,22.0,18.0,5,no,2008
MAZDA CX-9,3.7,6,Auto-S6,4WD,Gasoline,SUV,7.0,15.0,21.0,17.0,4,no,2008
MAZDA MX-5,2.0,4,Auto-S6,2WD,Gasoline,small car,7.0,20.0,27.0,23.0,7,yes,2008
MAZDA MX-5,2.0,4,Man-6,2WD,Gasoline,small car,7.0,21.0,28.0,24.0,7,yes,2008
MAZDA MX-5,2.0,4,Man-5,2WD,Gasoline,small car,7.0,22.0,27.0,24.0,7,yes,2008
MAZDA RX-8,1.3,2,Man-6,2WD,Gasoline,small car,6.0,16.0,22.0,18.0,5,no,2008
MAZDA RX-8,1.3,2,Auto-S6,2WD,Gasoline,small car,6.0,16.0,23.0,19.0,5,no,2008
MAZDA Tribute,2.3,4,Man-5,2WD,Gasoline,SUV,7.0,22.0,28.0,24.0,7,yes,2008
MAZDA Tribute,2.3,4,Auto-L4,2WD,Gasoline,SUV,6.0,20.0,26.0,22.0,6,no,2008
MAZDA Tribute,2.3,4,Auto-L4,4WD,Gasoline,SUV,6.0,19.0,24.0,21.0,6,no,2008
MAZDA Tribute,3.0,6,Auto-L4,2WD,Gasoline,SUV,6.0,18.0,24.0,20.0,6,no,2008
MAZDA Tribute,3.0,6,Auto-L4,4WD,Gasoline,SUV,6.0,17.0,22.0,19.0,5,no,2008
MAZDA Tribute Hybrid,2.3,4,Auto-AV,2WD,Gasoline,SUV,9.5,34.0,30.0,32.0,9,yes,2008
MAZDA Tribute Hybrid,2.3,4,Auto-AV,4WD,Gasoline,SUV,9.5,29.0,27.0,28.0,8,yes,2008
MERCEDES-BENZ CL550,5.5,8,Auto-L7,2WD,Gasoline,small car,7.0,14.0,21.0,17.0,4,no,2008
MERCEDES-BENZ CL600,5.5,12,Auto-L5,2WD,Gasoline,small car,6.0,11.0,17.0,13.0,1,no,2008
MERCEDES-BENZ CL63 AMG,6.2,8,Auto-S7,2WD,Gasoline,small car,6.0,11.0,18.0,14.0,2,no,2008
MERCEDES-BENZ CL65 AMG,5.5,12,Auto-S5,2WD,Gasoline,small car,6.0,11.0,17.0,13.0,1,no,2008
MERCEDES-BENZ CLK63 AMG,6.2,8,Auto-S7,2WD,Gasoline,small car,6.0,12.0,19.0,14.0,2,no,2008
MERCEDES-BENZ CLK63 AMG Cabriolet,6.2,8,Auto-S7,2WD,Gasoline,small car,6.0,12.0,18.0,14.0,2,no,2008
MERCEDES-BENZ CLS63 AMG,6.2,8,Auto-S7,2WD,Gasoline,small car,6.0,12.0,18.0,14.0,2,no,2008
MERCEDES-BENZ E350,3.5,6,Auto-L7,2WD,Gasoline,midsize car,9.5,17.0,24.0,19.0,5,no,2008
MERCEDES-BENZ E550 4Matic,5.5,8,Auto-L7,4WD,Gasoline,midsize car,7.0,13.0,19.0,16.0,4,no,2008
MERCEDES-BENZ E63 AMG,6.2,8,Auto-S7,2WD,Gasoline,midsize car,6.0,12.0,19.0,15.0,3,no,2008
MERCEDES-BENZ E63 AMG Wagon,6.2,8,Auto-S7,2WD,Gasoline,station wagon,6.0,12.0,18.0,14.0,2,no,2008
MERCEDES-BENZ G500,5.0,8,Auto-L7,4WD,Gasoline,SUV,6.0,12.0,15.0,13.0,1,no,2008
MERCEDES-BENZ G55 AMG,5.4,8,Auto-L5,4WD,Gasoline,SUV,6.0,11.0,13.0,12.0,0,no,2008
MERCEDES-BENZ GL450 4Matic,4.6,8,Auto-L7,4WD,Gasoline,SUV,7.0,13.0,18.0,15.0,3,no,2008
MERCEDES-BENZ GL550 4Matic,5.5,8,Auto-L7,4WD,Gasoline,SUV,7.0,13.0,17.0,14.0,2,no,2008
MERCEDES-BENZ ML350 4Matic,3.5,6,Auto-L7,4WD,Gasoline,SUV,7.0,15.0,20.0,17.0,4,no,2008
MERCEDES-BENZ ML550 4Matic,5.5,8,Auto-L7,4WD,Gasoline,SUV,7.0,13.0,18.0,15.0,3,no,2008
MERCEDES-BENZ Maybach 57,5.5,12,Auto-L5,2WD,Gasoline,large car,6.0,10.0,16.0,12.0,0,no,2008
MERCEDES-BENZ Maybach 57S,6.0,12,Auto-L5,2WD,Gasoline,large car,6.0,10.0,16.0,12.0,0,no,2008
MERCEDES-BENZ Maybach 62,5.5,12,Auto-L5,2WD,Gasoline,large car,6.0,10.0,16.0,12.0,0,no,2008
MERCEDES-BENZ Maybach 62S,6.0,12,Auto-L5,2WD,Gasoline,large car,6.0,10.0,16.0,12.0,0,no,2008
MERCEDES-BENZ R350,3.5,6,Auto-L7,2WD,Gasoline,SUV,7.0,15.0,20.0,17.0,4,no,2008
MERCEDES-BENZ R350 4Matic,3.5,6,Auto-L7,4WD,Gasoline,SUV,7.0,15.0,19.0,16.0,4,no,2008
MERCEDES-BENZ S550,5.5,8,Auto-L7,2WD,Gasoline,large car,7.0,14.0,21.0,16.0,4,no,2008
MERCEDES-BENZ S550 4Matic,5.5,8,Auto-L7,4WD,Gasoline,large car,7.0,14.0,20.0,16.0,4,no,2008
MERCEDES-BENZ S600,5.5,12,Auto-L5,2WD,Gasoline,large car,6.0,11.0,17.0,13.0,1,no,2008
MERCEDES-BENZ S63 AMG,6.2,8,Auto-S7,2WD,Gasoline,large car,6.0,11.0,17.0,13.0,1,no,2008
MERCEDES-BENZ S65 AMG,6.0,12,Auto-S5,2WD,Gasoline,large car,6.0,11.0,17.0,13.0,1,no,2008
MERCEDES-BENZ SL55 AMG,5.4,8,Auto-S5,2WD,Gasoline,small car,6.0,12.0,17.0,14.0,2,no,2008
MERCEDES-BENZ SL550,5.5,8,Auto-L7,2WD,Gasoline,small car,7.0,14.0,21.0,16.0,4,no,2008
MERCEDES-BENZ SL600,5.5,12,Auto-L5,2WD,Gasoline,small car,6.0,11.0,18.0,14.0,2,no,2008
MERCEDES-BENZ SL65 AMG,6.0,12,Auto-S5,2WD,Gasoline,small car,6.0,11.0,18.0,14.0,2,no,2008
MERCEDES-BENZ SLK55 AMG,5.4,8,Auto-S7,2WD,Gasoline,small car,6.0,14.0,20.0,16.0,4,no,2008
MERCEDES-BENZ SLR,5.4,8,Auto-S5,2WD,Gasoline,small car,6.0,12.0,16.0,13.0,1,no,2008
MERCURY Mariner,2.3,4,Auto-L4,2WD,Gasoline,SUV,6.0,20.0,26.0,22.0,6,no,2008
MERCURY Mariner,2.3,4,Auto-L4,4WD,Gasoline,SUV,6.0,19.0,24.0,21.0,6,no,2008
MERCURY Mariner,3.0,6,Auto-L4,2WD,Gasoline,SUV,6.0,18.0,24.0,20.0,6,no,2008
MERCURY Mariner,3.0,6,Auto-L4,4WD,Gasoline,SUV,6.0,17.0,22.0,19.0,5,no,2008
MERCURY Mariner Hybrid,2.3,4,Auto-AV,2WD,Gasoline,SUV,9.5,34.0,30.0,32.0,9,yes,2008
MERCURY Mariner Hybrid,2.3,4,Auto-AV,4WD,Gasoline,SUV,9.5,29.0,27.0,28.0,8,yes,2008
MERCURY Milan,2.3,4,Auto-L5,2WD,Gasoline,midsize car,9.5,20.0,28.0,23.0,7,yes,2008
MERCURY Milan,3.0,6,Auto-L6,4WD,Gasoline,midsize car,7.0,17.0,25.0,20.0,6,yes,2008
MERCURY Milan,3.0,6,Auto-L6,2WD,Gasoline,midsize car,7.0,18.0,26.0,21.0,6,yes,2008
MERCURY Mountaineer,4.0,6,Auto-L5,2WD,Gasoline,SUV,7.0,14.0,20.0,16.0,4,no,2008
MERCURY Mountaineer,4.0,6,Auto-L5,4WD,Gasoline,SUV,7.0,13.0,19.0,15.0,3,no,2008
MERCURY Mountaineer,4.6,8,Auto-L6,2WD,Gasoline,SUV,7.0,13.0,20.0,16.0,4,no,2008
MERCURY Mountaineer,4.6,8,Auto-L6,4WD,Gasoline,SUV,7.0,13.0,19.0,15.0,3,no,2008
MERCURY Sable,3.5,6,Auto-L6,4WD,Gasoline,large car,9.5,17.0,24.0,19.0,5,no,2008
MERCURY Sable,3.5,6,Auto-L6,2WD,Gasoline,large car,9.5,18.0,28.0,22.0,6,yes,2008
MINI Mini Cooper Convertible,1.6,4,Auto-AV,2WD,Gasoline,small car,6.0,25.0,33.0,28.0,8,yes,2008
MINI Mini Cooper Convertible,1.6,4,Man-5,2WD,Gasoline,small car,6.0,26.0,35.0,29.0,8,yes,2008
MINI Mini Cooper S Convertible,1.6,4,Auto-S6,2WD,Gasoline,small car,6.0,22.0,31.0,26.0,8,yes,2008
MINI Mini Cooper S Convertible,1.6,4,Man-6,2WD,Gasoline,small car,6.0,24.0,31.0,27.0,8,yes,2008
MITSUBISHI Eclipse,2.4,4,Auto-S4,2WD,Gasoline,small car,7.0,20.0,26.0,22.0,6,yes,2008
MITSUBISHI Eclipse,2.4,4,Man-5,2WD,Gasoline,small car,7.0,20.0,28.0,23.0,7,yes,2008
MITSUBISHI Eclipse,3.8,6,Man-6,2WD,Gasoline,small car,6.0,16.0,25.0,19.0,5,no,2008
MITSUBISHI Eclipse,3.8,6,Auto-S5,2WD,Gasoline,small car,6.0,17.0,25.0,20.0,6,no,2008
MITSUBISHI Eclipse Spyder,2.4,4,Auto-S4,2WD,Gasoline,small car,7.0,19.0,26.0,22.0,6,yes,2008
MITSUBISHI Eclipse Spyder,2.4,4,Man-5,2WD,Gasoline,small car,7.0,19.0,26.0,22.0,6,yes,2008
MITSUBISHI Eclipse Spyder,3.8,6,Auto-S5,2WD,Gasoline,small car,6.0,16.0,24.0,19.0,5,no,2008
MITSUBISHI Eclipse Spyder,3.8,6,Man-6,2WD,Gasoline,small car,6.0,16.0,25.0,19.0,5,no,2008
MITSUBISHI Endeavor,3.8,6,Auto-S4,2WD,Gasoline,SUV,6.0,15.0,22.0,18.0,5,no,2008
MITSUBISHI Endeavor,3.8,6,Auto-S4,4WD,Gasoline,SUV,6.0,15.0,19.0,17.0,4,no,2008
MITSUBISHI Galant,2.4,4,Auto-S4,2WD,Gasoline,midsize car,9.5,20.0,27.0,23.0,7,yes,2008
MITSUBISHI Galant,3.8,6,Auto-S5,2WD,Gasoline,midsize car,6.0,17.0,25.0,20.0,6,no,2008
MITSUBISHI Lancer,2.0,4,Man-5,2WD,Gasoline,small car,9.5,21.0,29.0,24.0,7,yes,2008
MITSUBISHI Lancer,2.0,4,Auto-AV,2WD,Gasoline,small car,9.5,22.0,29.0,24.0,7,yes,2008
MITSUBISHI Outlander,3.0,6,Auto-S6,2WD,Gasoline,SUV,9.5,17.0,25.0,20.0,6,yes,2008
MITSUBISHI Outlander,3.0,6,Auto-S6,4WD,Gasoline,SUV,9.5,17.0,24.0,20.0,6,yes,2008
MITSUBISHI Outlander,2.4,4,Auto-AV,2WD,Gasoline,SUV,6.0,20.0,25.0,22.0,6,no,2008
MITSUBISHI Outlander,2.4,4,Auto-AV,4WD,Gasoline,SUV,6.0,20.0,25.0,22.0,6,no,2008
MITSUBISHI Raider,3.7,6,Auto-L4,2WD,Gasoline,pickup,7.0,15.0,20.0,17.0,4,no,2008
MITSUBISHI Raider,3.7,6,Auto-L4,4WD,Gasoline,pickup,7.0,14.0,18.0,15.0,3,no,2008
MITSUBISHI Raider,4.7,8,Auto-L5,2WD,Gasoline,pickup,7.0,14.0,19.0,15.0,3,no,2008
MITSUBISHI Raider,4.7,8,Auto-L5,4WD,Gasoline,pickup,7.0,14.0,19.0,15.0,3,no,2008
MITSUBISHI Raider,3.7,6,Auto-L4,2WD,Gasoline,pickup,6.0,15.0,20.0,17.0,4,no,2008
MITSUBISHI Raider,3.7,6,Man-6,2WD,Gasoline,pickup,6.0,16.0,20.0,18.0,5,no,2008
MITSUBISHI Raider,3.7,6,Auto-L4,4WD,Gasoline,pickup,6.0,14.0,18.0,15.0,3,no,2008
NISSAN 350Z,3.5,6,Auto-S5,2WD,Gasoline,small car,7.0,17.0,24.0,20.0,6,yes,2008
NISSAN 350Z,3.5,6,Man-6,2WD,Gasoline,small car,7.0,18.0,25.0,20.0,6,yes,2008
NISSAN 350Z Roadster,3.5,6,Auto-S5,2WD,Gasoline,small car,7.0,17.0,23.0,19.0,5,no,2008
NISSAN 350Z Roadster,3.5,6,Man-6,2WD,Gasoline,small car,7.0,17.0,24.0,20.0,6,yes,2008
NISSAN Altima,2.5,4,Auto-AV,2WD,Gasoline,midsize car,9.5,23.0,31.0,26.0,8,yes,2008
NISSAN Altima,2.5,4,Man-6,2WD,Gasoline,midsize car,9.5,23.0,32.0,26.0,8,yes,2008
NISSAN Altima,2.5,4,Auto-AV,2WD,Gasoline,small car,9.5,23.0,31.0,26.0,8,yes,2008
NISSAN Altima,2.5,4,Man-6,2WD,Gasoline,small car,9.5,23.0,32.0,26.0,8,yes,2008
NISSAN Altima,3.5,6,Auto-AV,2WD,Gasoline,midsize car,7.0,19.0,26.0,22.0,6,yes,2008
NISSAN Altima,3.5,6,Man-6,2WD,Gasoline,midsize car,7.0,19.0,27.0,22.0,6,yes,2008
NISSAN Altima,3.5,6,Auto-AV,2WD,Gasoline,small car,7.0,19.0,26.0,22.0,6,yes,2008
NISSAN Altima,3.5,6,Man-6,2WD,Gasoline,small car,7.0,19.0,27.0,22.0,6,yes,2008
NISSAN Altima,2.5,4,Auto-AV,2WD,Gasoline,midsize car,6.0,23.0,31.0,26.0,8,yes,2008
NISSAN Altima,2.5,4,Man-6,2WD,Gasoline,midsize car,6.0,23.0,32.0,26.0,8,yes,2008
NISSAN Altima,2.5,4,Auto-AV,2WD,Gasoline,small car,6.0,23.0,31.0,26.0,8,yes,2008
NISSAN Altima,2.5,4,Man-6,2WD,Gasoline,small car,6.0,23.0,32.0,26.0,8,yes,2008
NISSAN Altima Hybrid,2.5,4,Auto-AV,2WD,Gasoline,midsize car,9.5,35.0,33.0,34.0,9,yes,2008
NISSAN Armada,5.6,8,Auto-L5,2WD,Gasoline,SUV,6.0,12.0,18.0,14.0,2,no,2008
NISSAN Armada,5.6,8,Auto-L5,4WD,Gasoline,SUV,6.0,12.0,17.0,14.0,2,no,2008
NISSAN Frontier,2.5,4,Auto-L5,2WD,Gasoline,pickup,7.0,17.0,22.0,19.0,5,no,2008
NISSAN Frontier,2.5,4,Man-5,2WD,Gasoline,pickup,7.0,19.0,23.0,21.0,6,yes,2008
NISSAN Frontier,4.0,6,Auto-L5,2WD,Gasoline,pickup,7.0,15.0,20.0,17.0,4,no,2008
NISSAN Frontier,4.0,6,Man-6,2WD,Gasoline,pickup,7.0,16.0,20.0,17.0,4,no,2008
NISSAN Frontier,4.0,6,Auto-L5,4WD,Gasoline,pickup,7.0,14.0,19.0,16.0,4,no,2008
