model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,year
BMW M5,5.0,10,Auto-S7,2WD,Gasoline,midsize car,6.0,12.0,18.0,14.0,2,no,2008
BMW M6,5.0,10,Man-6,2WD,Gasoline,small car,6.0,12.0,18.0,14.0,2,no,2008
BMW M6,5.0,10,Auto-S7,2WD,Gasoline,small car,6.0,12.0,18.0,14.0,2,no,2008
BMW M6 Convertible,5.0,10,Man-6,2WD,Gasoline,small car,6.0,12.0,18.0,14.0,2,no,2008
BMW M6 Convertible,5.0,10,Auto-S7,2WD,Gasoline,small car,6.0,12.0,19.0,14.0,2,no,2008
BMW X3,3.0,6,Man-6,4WD,Gasoline,SUV,7.0,18.0,26.0,21.0,6,yes,2008
BMW X3,3.0,6,Auto-S6,4WD,Gasoline,SUV,7.0,19.0,26.0,22.0,6,yes,2008
BMW X5,3.0,6,Auto-S6,4WD,Gasoline,SUV,7.0,17.0,23.0,19.0,5,no,2008
BMW X5,4.8,8,Auto-S6,4WD,Gasoline,SUV,7.0,15.0,21.0,17.0,4,no,2008
BMW Z4,3.0,6,Man-6,2WD,Gasoline,small car,7.0,20.0,30.0,24.0,7,yes,2008
BMW Z4,3.0,6,Auto-S6,2WD,Gasoline,small car,7.0,23.0,31.0,25.0,7,yes,2008
BMW Z4 Coupe,3.0,6,Man-6,2WD,Gasoline,small car,7.0,20.0,30.0,24.0,7,yes,2008
BMW Z4 Coupe,3.0,6,Auto-S6,2WD,Gasoline,small car,7.0,23.0,31.0,25.0,7,yes,2008
BUGATTI Veyron,8.0,16,Auto-S6,4WD,Gasoline,small car,6.0,8.0,14.0,10.0,0,no,2008
BUICK Allure,3.8,6,Auto-L4,2WD,Gasoline,midsize car,9.5,17.0,28.0,21.0,6,yes,2008
BUICK Allure,3.6,6,Auto-L4,2WD,Gasoline,midsize car,6.0,17.0,25.0,20.0,6,no,2008
BUICK Allure,5.3,8,Auto-L4,2WD,Gasoline,midsize car,6.0,16.0,25.0,19.0,5,no,2008
BUICK Enclave,3.6,6,Auto-L6,2WD,Gasoline,SUV,6.0,16.0,24.0,19.0,5,no,2008
BUICK Enclave,3.6,6,Auto-L6,4WD,Gasoline,SUV,6.0,16.0,22.0,18.0,5,no,2008
BUICK LaCrosse,3.8,6,Auto-L4,2WD,Gasoline,midsize car,9.5,17.0,28.0,21.0,6,yes,2008
BUICK LaCrosse,3.6,6,Auto-L4,2WD,Gasoline,midsize car,6.0,17.0,25.0,20.0,6,no,2008
BUICK LaCrosse,5.3,8,Auto-L4,2WD,Gasoline,midsize car,6.0,16.0,25.0,19.0,5,no,2008
BUICK Lucerne,3.8,6,Auto-L4,2WD,Gasoline,large car,9.5,16.0,25.0,19.0,5,no,2008
BUICK Terraza,3.9,6,Auto-L4,2WD,Gasoline,minivan,6.0,16.0,23.0,19.0,5,no,2008
CADILLAC CTS,3.6,6,Man-6,2WD,Gasoline,midsize car,6.0,16.0,25.0,19.0,5,no,2008
CADILLAC CTS,3.6,6,Auto-S6,4WD,Gasoline,midsize car,6.0,17.0,25.0,20.0,6,no,2008
CADILLAC CTS,3.6,6,Auto-S6,4WD,Gasoline,midsize car,6.0,17.0,26.0,20.0,6,no,2008
CADILLAC CTS,3.6,6,Auto-S6,2WD,Gasoline,midsize car,6.0,17.0,26.0,20.0,6,no,2008
CADILLAC CTS,3.6,6,Auto-S6,2WD,Gasoline,midsize car,6.0,18.0,26.0,21.0,6,no,2008
CADILLAC Escalade,6.2,8,Auto-L6,2WD,Gasoline,SUV,6.0,12.0,19.0,14.0,2,no,2008
CADILLAC Escalade,6.2,8,Auto-L6,4WD,Gasoline,SUV,6.0,12.0,18.0,14.0,2,no,2008
CADILLAC SRX,3.6,6,Auto-S5,2WD,Gasoline,SUV,6.0,15.0,22.0,17.0,4,no,2008
CADILLAC SRX,3.6,6,Auto-S5,4WD,Gasoline,SUV,6.0,14.0,22.0,17.0,4,no,2008
CADILLAC SRX,4.6,8,Auto-S6,2WD,Gasoline,SUV,6.0,13.0,20.0,16.0,4,no,2008
